date,source,title,url,snippet,language
2026-05-11,bangkokpost_business,Oil jumps as US and Iran disagree on peace proposal,https://www.bangkokpost.com/business/general/3253148/oil-jumps-as-us-and-iran-disagree-on-peace-proposal,"SINGAPORE - Oil prices jumped $3 a barrel on Monday as the United States and ​Iran failed ⁠to agree to a peace proposal drafted by Washington while the Strait of Hormuz remained largely closed, keeping global energy supplies tight.",en
2026-05-11,bangkokpost_business,Thai Oil braces for financial uncertainty in second half,https://www.bangkokpost.com/business/general/3253574/thai-oil-braces-for-financial-uncertainty-in-second-half,"Oil refiner Thai Oil Plc is bracing for financial uncertainty in the second half, including the impact of the state policy to reduce diesel ex-refinery prices, though it posted a net profit of more than 19 billion baht in the first quarter.",en
2026-05-12,bangkokpost_business,Thailand determined to diversify oil imports,https://www.bangkokpost.com/business/general/3254184/thailand-determined-to-diversify-oil-imports,"Amid concerns as negotiations to end the conflict in Iran hit a roadblock, Thailand has oil reserves to cover 117 days of consumption, says the Energy Ministry, piling on pressure to secure oil from regions other than the Middle East.",en
2026-05-13,bangkokpost_business,Fuel crisis results in fewer flights for Thai pilots,https://www.bangkokpost.com/business/general/3254638/fuel-crisis-results-in-fewer-flights-for-thai-pilots,"Pilots in Thailand have begun to feel the impact of reduced flights, as some low-cost carriers have announced a 20% cut in allowances and reduced productivity pay to cope with rising operational costs.",en
2026-05-14,bangkokpost_business,THAI to add Europe flights despite jet fuel concerns,https://www.bangkokpost.com/business/general/3255250/thai-to-add-europe-flights-despite-jet-fuel-concerns,"Flag carrier Thai Airways International (THAI) plans to add European flights, yet still maintain proactive fuel cost and route network management amid short-term concerns about spillover impacts from the war in the Middle East and geopolitical tensions.",en
2026-05-16,bangkokpost_business,Financially weak airlines at risk from rising fuel prices,https://www.bangkokpost.com/business/general/3255774/financially-weak-airlines-at-risk-from-rising-fuel-prices,"Financially weak airlines, particularly those that avoided hedging on fuel costs and focus on leisure travel, are more exposed to financial distress amid persistently high fuel costs, according to consultancy Alton Aviation.",en
2026-05-15,bangkokpost_business,Stocks tumble as US-Iran impasse fuels inflation fears,https://www.bangkokpost.com/business/general/3256005/stocks-tumble-as-usiran-impasse-fuels-inflation-fears,NEW YORK - Global stocks slumped and oil prices rose Friday with worries about sustained inflation driving up bond yields with no conclusion to the Iran war in sight.,en
2026-05-15,bangkokpost_business,"Oil, inflation worries push shares downward",https://www.bangkokpost.com/business/general/3255799/oil-inflation-worries-push-shares-downward,"RECAP: Emerging Asian markets fell yesterday as surging oil prices and limited progress in US-Iran peace negotiations heightened concerns over inflation and economic uncertainty. As well, the Trump-Xi summit produced little news to excite investors.",en
2026-05-18,bangkokpost_business,"BBGI touts bio-LNG for industry, transport",https://www.bangkokpost.com/business/general/3256783/bbgi-touts-biolng-for-industry-transport,"SET-listed BBGI, the biotechnology arm of Bangchak Corporation, is accelerating efforts to make bio-liquefied natural gas (bio-LNG) a mainstream alternative fuel for Thailand's industry and transport sectors as rising global LNG prices driven by the war in Iran pressure domestic energy costs.",en
2026-05-19,bangkokpost_business,Bangchak launches Thailand’s first commercial SAF production,https://www.bangkokpost.com/business/general/3256968/bangchak-launches-thailands-first-commercial-saf-production,"Bangchak Group has launched Thailand&rsquo;s first commercial production of Sustainable Aviation Fuel (SAF) from the country&rsquo;s first 100% HEFA-SPK SAF Stand Alone production unit at Bangchak Phra Khanong Refinery. The milestone marks an important step in Thailand&rsquo;s transition toward future energy, supporting Net Zero ambitions while responding to growing demand for...",en
2026-05-20,bangkokpost_business,Thai industrial sentiment drops for second straight month in April,https://www.bangkokpost.com/business/general/3258099/thai-industrial-sentiment-drops-for-second-straight-month-in-april,"Thailand's industrial sentiment ​index dropped ​for &zwnj;a second straight month in April, hurt by high oil ​prices, ⁠a manufacturing slowdown and the &zwnj;war in the Middle East, the Federation ⁠of Thai Industries said on Wednesday.",en
2026-05-19,bangkokpost_business,Fuel consumption posts increase in Q1,https://www.bangkokpost.com/business/general/3257833/fuel-consumption-posts-increase-in-q1,"Thailand's fuel consumption surged in the first quarter of this year, rising 5.3% year-on-year to an average of 167 million litres per day, according to the Department of Energy Business (DOEB).",en
2026-05-21,bangkokpost_business,World built more coal power in 2025 but used less,https://www.bangkokpost.com/business/general/3258608/world-built-more-coal-power-in-2025-but-used-less,"The world built and commissioned more coal power in 2025, but used the polluting fuel less, with the United States the only major economy to substantially increase generation, a new analysis shows.",en
2026-05-20,bangkokpost_business,B20 expansion targets energy security boost,https://www.bangkokpost.com/business/general/3258424/b20-expansion-targets-energy-security-boost,"Thailand is accelerating efforts to reduce reliance on imported oil by expanding sales of biodiesel B20, aiming to make the fuel available at 1,000 filling stations within a month.",en
